review,emotion
서울 유명플레이스와 백화점에 지점을 두고있는 대형 베트남식당 이 날 맛본 프리미엄보양쌀국수는 로컬화 된듯 염도있고 자극적인 국물로 쌀국수 특유의 시원함이 빠져있었다 보양쌀국수를 구성하는 우삼겹양지스지소꼬리 나머지 가지 건지는 괜찮았으나 원을 지불하게 된 소꼬리는 질긴 살결에 발골이 어렵고 잡내가 올라오던 전문점이 아님을 감안해도 아쉬움이 남던 소꼬리 계산 후 식당을 빠져나오며 마주한 긴 웨이팅에 고개를 꺄우뚱할수밖에,0
쌀국수는 이런 맛이 아님 이게 왜 맛있다는건지 ㅡㅡ,0
자극적인 맛 그렇지만 강남 주변에서 쌀국수가 땡긴다면 생각나는 곳,0
양 많고 맛있어요바빠도 친절한곳 많은데이곳은 그렇진 않음,1
굉장히 빠르게 나오고 혼밥하기 너무 좋습니다 사장님이 진두진휘 하시는데 눈치도 굉장히 빠르시고 알바생들한테 기본적인 테이블 세팅이나 어느 부분에서 빠르게 응대해야하는지 잘 교육시키신 것 같았어요 쌀국수도 베이스가 뭔지는 모르겠으나 국물이 시원하고 다음에도 또 갈 의향이 너무 있습니다 점심 혼밥으로 추천 오늘도 갈거에요ㅎ,1
주문한지 분만에 나와요 ㅋㅋ 굿,0
광고 보고 왔으나 광고와 매우 다르다고 느꼈습니다 광고에서는 양이 매우 많아보였으나 제가 받은 양과는 차이가 있네요 기본적인 맛 또한 매우 평범한 수준이며 무한리필된다는 밥은 상태가 매우 안좋고 맛도 별로였습니다 줄도 대기하여 먹는분들이 계시는데 굳이 줄서서 먹을만하다고 생각하진 않습니다 점을 주지만 개인적인 평점은 점입니다 직원분들은 매우 친절합니다,0
강남 먹자골목에 위치한 보양 쌀국수 땀땀 본점 점심 시간 때 가면 시반쯤 가도 웨이팅을 해야 한다 대기시간은 분 내외로 아주 길진 않았다 매운소곱창쌀국수를 주문했다 단계까지였는지 단계까지였는지 잘 기억나지 않지만 매운쌀국수의 경우 매운맛 단계를 고를 수 있다 내가 주문한 단계는 신라면보다 덜 매운 편 단계도 있다 매운소곱창쌀국수는 불향이 은은하게 나고 곱창이 쫄깃했다 매운한우소곱창쌀국수는 매운소곱창쌀국수보다 원 더 비싼데 그렇게까지 먹어야 하는지 모르겠다 사이드로 시킨 짜조 코코넛슈림프크리스피롤은 눈 깜짝할 새 나온다 전자레인지로 돌려도 못 나올 시간대인데 뜨거움과 바삭함이 살아있다 튀김이 전체적으로 훌륭한 편,1
팀원 추천으로 방문했습니다 개인적으로 쌀국수보다는 쪽갈비가 더 맛있었습니다 매운쌀국수는  이였지만 맵다라는 느낌은 좀 덜했어요 직원분들은 매우 친절합니다,1
아이들 있다고 더 잘해주시고 맛도 좋았습니다,1
맛있었어용 ㅎㅎ,1
맛은있는데 너무 많아서 쌀국수랑 싸우는기분,0
푸짐하게 먹을 수 있어요,1
예전의 감동은 없는 듯함 웨이팅할 정도의 맛은 아니지만 지나가다 생각나서 먹을정도의 맛집,0
맛있고 또 맛있어요 강추입니다,1
주차가 극악이지만 너무너무너무 맛있었고 나중에 또 오고싶어요 진짜 맛있음 면이 너무 맘에들어요ㅠㅠ 건더기도 레전드,1
솔직히 기대한만큼 맛있진 않아요 한번으로 만족,1
매운우삼겹 단계 푸짐하고 얼큰해서 맛있더군요,1
친절하긴한데 그게 다입니다 맛은 정말 다른 지점에서 먹고 여기갔다가 후회했습니다,0
추억의 곱창쌀국수 맛집,1
쌀국수 고기가 진짜 많고 국물이 맛있어요 저거 시키면 불쑈도 보여쥬심,1
양도 괜찮고 무엇보다 서비스가 와닿았던 곳  가격은 프리미엄 이름값을 하지만 맛이 쌍프리미엄이라 만족,1
줄서지말고 매장 안으로 바로 들어가 계산대에서 번호표 받으세요 제가 먼저 들어갔다가 다른 직원분한테 번호표도 줄서야하냐고 물어보는 사이 ㅋㅋ뒤에 오신 다른 분 먼저 줄서서 번호표 받아가심그런 과정 보셨으면 융통성있게 먼저 오신 분 해준다 해주시지 뭔가 친절함이 아예 없는건 아닌데 전반적으로 모든 직원이 여기 룰을 지켜야만 니네가 먹을 수 있어 이런느낌 있음   매운소곱창쌀국수분짜   매운 소곱창 쌀국수  예전에는 불로 지져주고 불맛도 났던거 같고 곱창도 더 많았어요 곱창도 다 야들야들 부드러웠는데 최근엔 아니었어요 간간히 쓴 곱창도 있었음 그래도 아직까진 매운 소곱창 쌀국수 중에는 가장 곱창 양이 많아 또 갈듯  분짜  소곱창 쌀국수가 매워서 중화용으로 좋음 예전엔 나쁘지 않았는데 최근엔 또 퀄리티가 떨어저 다음엔 안시켜먹을 예정,0
맛은 있으나 역대급 불친절 서비스 별로 안 따지지만 기분 상당히 나쁘게 먹었습니다쌀국수 분짜 모두 추천인데 아무래도 쌀국수가 메인인 곳인가봐요,0
이걸왜줄서서먹음 서울사람들은 맛잇는거못먹어봤나싶음 양은많음 대실망 노맛,0
으,0
그지같아서 사진도 안찍었네 젠장 주문받았으면서 까먹어놓고 우리 방치하다가 우리가 물어보니까 주문을 안하셨네 안했겠냐고 배고파서 밥먹을라고 앉아있는데 우리가 거기서 뭐하겠다고 분동안 앉아있었겠냐고 그러고 나 힘줄쌀국수 뭐 그거 시켰는데 고기 안쪽이 차가움ㅋㅋㅋㅋㅋㅋ진짜 미친건가 했음ㅋㅋ 맛은 어땠는지 기억도 안남 짜증나서 그냥 먹기싫었음 그래도 시켰으니 돈아까워서라도 먹어야지 젠장 여러분 제발 가지말아주세요,0
국물도 진하고 고기나 숙주 양도 많아요 안내도 친절하고 서비스 좋았습니다,1
맛에 비해 너무 높은 가격 두 번째 방문인데 몇 년 사이에 맛이 변한 듯,0
이렇게 싱거운 쌀국수는 인생 처음 짜조는 맛있어요,0
너무 친절해서 신기했음 맛은 말뭐 곱창국수 단계 추천함,1
분짜하고 매운 소곱창 쌀국수 단계 시켰는데 양이나 맛으로 너무 맛이 없어서 실망했습니다 개인적으로 맛을 잘 가리지 않는 허들이 낮은 사람인데 근 년 간 돈 내고 먹은 음식 중 손에 꼽을 정도로 맛이 아쉬웠습니다 평소 카카오맵 평점  이상은 신빙성있다고 보는데 너무 아쉬웠네요  그리고 종업원이 입구 근처에서 큰 목소리로 이야기하는 것이 식사에 방해됩니다,0
예상외로 바쿠테라고 하지만 매콤달콤 등갈비가 먹을만하고 양도 많았네요 아쉬운점은 양념에 당도는 조금 내리고 식초나 라임레몬즙을 살짝 추가 했으면 끝까지 물리지 않고 먹기에 좋을듯 하구요 튀김이라고 했지만 어차피 익혀서 튀길건데 익히는 시간을 저온도 내외 에서 좀더 길게 잡으면 시간 이상 뼈와 살이 사르르 분리됩니다 그래야 비닐장갑 끼고도 순조롭게 분리해서 먹고 회전률도 올라가니 영업에도 도움이 될듯요 본사에서 모니터링할진 모르지만 영업에 도움 되길 바라는 마음에,1
임산부랑 같이 갔습니다 배려 너무 감사합니다 케이크도 냉장보관해주시고 늘 번창하세요 ,1
평범하게 맛있어요 매운곱창쌀국수는 넘 느끼했음,0
전 쏘쏘,0
쌀국수는 여기가 최고,1
이맛을 왜 이렇게 기다려가면서 먹으려고 줄서는건지 이해가 안되는 집 서울 사람들은 맛없는거만 먹고 사나 라고 느꼈던 곳,0
쌀국수 분짜,1
매운 소곱창 쌀국수 마라탕 맛이 나여 저는 맛있는데 마라탕 못 먹는 사람은 괴로워하더라고여,1
쌀국시 맛집,1
신선했음,1
한우쌀국수 먹었어야했나 싶움 그냥 일반 쌀국수 먹었는데 조금 질기지만 먹을만 했다,0
장점 가성비 매우 굳 강남 이 일대에서 가성비 제일 좋은 집임 거기다가 맛있기까지 함 배부르고 맛있고 직원분들 항상 친절하심 메뉴 바로바로 나옴 오래안기다려도됨 혼밥쌉가능 혼밥존 책상이 있음 구석진곳도 아니고 햇빛드는곳에 자리도 좋음 개인적 추천메뉴는 직화쌀국수 매우맛있음 단점은 양이 넘 많다 어우 배불러,1
직화쌀국수 보양쌀국수 코코넛슈림프 사이드 주문했습니다 고기 양 괜찮고 맛있습니다 호불호 갈리는 향이 없는 곳입니다 평소 베트남 음식 못먹는 사람도 먹을 수 있습니다,1
무난한 맛인거 같아요 곱창안에 곱이 다 빠져있었던게 아쉽지만 친절하셨고 음식은 주문한지 분도 안되서 나왔어요패스트푸드인줄요ㅋㅋㅋ 곱창쌀국수 원이었고 맵기 조절 가능했고 단계는 거의 맵지 않았습니다,1
여기 쌀국수 최고,1
맛있긴함,0
평일 시 분쯤 갔더니 줄 안서고 바로 먹음 곱창쌀국수 시켰는데 엄청 빨리 나오고 얼큰하니 진짜 맛있었음 맵찔이라 신라면맵기 했는데 별로 안맵더라구여 곱창도 왕창 들어있고 해장 지대로 했습니다  다시 먹고싶은맛,1
빠르고 친절하고 맛있음 직원분들도 너무 다 분위기 좋고 친절하심,1
유명한지 모르고 들어갔는데 양많고 맛있었음,1
줄서는 거 빼고 괜찮음,1
유명세에 비해 맛은 그닥 느끼하고 기름진걸 싫어한다면 강력비추 매운 메뉴도 먹어봤지만 그마저도 음,0
식사 및 음료가 입에 맞았는가  쌀국수 맛있어요 저같은 경우는 동남아나 대만 야시장이런 곳가면 냄새때문에 역해하는 편인데 그런거 없이 한국인 입맛에 맞게 맛있었습니다 매운양지쌀국수를 먹었는데 마라맛이 좀 났어요 단계가 신라면맵기였습니다 방문하면서 돈 생각나지 않았는가  강남이라 쌀국수가 만 원이 넘어갔습니다 천원 세트를 추가주문하면 짜조가 나오는데 맛있어요 근데 한 개밖에 안나와서 비싸다고 느꼈습니다 다음에 또 가고싶고 지인에게 추천할 의향이 있는가  전반적으로 맛있었어요 쌀국수라서 그런지 음식이 빨리나오는게 장점이었어요 다음에도 기회가 되면 또 갈듯합니다 추가적인 요소직원친절 주차 이벤트 청결  매장이 협소하긴 합니다,1
그렇게 맛있는지까진 잘 모르겠어요ㅠㅠ,0
쌀국수는 맛있는데 갈비에서 돼지냄새 쩔어요,0
제가 메뉴를 맛있는 메뉴를 잘 몰랐나봐요 그냥 쌀국수는 맛있지는 않았어요,0
갈비가 생각치도 못했는데 진짜 맛있습니다,1
오랜만에 만난 지인과 같이 쌀국수를 먹으러 갔어요 가격도 그리 비싸지 않았는데 양이 엄청 많더라구요 세트메뉴도 있어서 좋았구요 분 넘게 줄 서서 기다린 보람이 있었습니다,1
양 정말 많고 곱창도 많았어요 근데 고춧가루가 너무 크고 많아서 국물 먹기가 힘들었어요ㅠ 밑반찬이 없는 점도 아쉬웠습니다 웨이팅을 감수하면서 다시 먹으러 가지는 않을 거 같아요,0
인스타 때문에 유명한 것 같은데 맛은 그냥 그럼,0
사장님 친절하심 맛은 보통,0
강남역에 맛집이 없어서 상대적으로 유명해진게 아닌가 싶습니다 한참 웨이팅 할 정도는 아닌 집 한국인 입맛에 맞춰 개량된 쌀국수이고 국물 맛이 깊지 않습니다 의자가 너무 높아서 불편합니다 직원분들이 신경써주시긴 하는데 그럴바에 낮은 식탁으로 바꾸는게 낫지 않을까요,0
직원들 친목질하는걸 손님들이 왜 들어야되는지 모르겠음 시끄러움 불친절하다기보단 성의없게 군다고 느껴짐 강남역은 진짜 먹을데가 없다,0
괜찮았어요 얼큰하니 곱도 많아서 만약 근처에서 일한다면 점심메뉴로 먹기 좋을 것 같아요,0
메뉴 이것저것 먹어봐도 다 맛있네요 굳,1
먹고 배탈났어요,0
항상 맛있습니다 다만 신입으로 보이는 알바분이 제가 주문한 메뉴와 관련해서 실수를 했는데 그걸 제 앞에서 혼내시더라고요 저는 큰 실수가 아니라 상관없었는데 손님앞에서 대놓고 소리치면서 뭐라하는게 좀 그랬어요,0
맛은 있는데 막 길게 줄설정도는 아님 같이 간 일행은 그냥 그렇다함,1
 편리한 키오스크 주문  매운 곱창칼국수 원 생각보다 곱창 양이 많아서 놀랐음  맛있긴한데 워낙 맛집으로 유명해서 기대를 너무 많이했나 조금 아쉬웠음,0
꽤 유명한 맛집이라 지인과 방문했는데 그 추운날 자리가 널널하게 비어있음에도 불구하고 일행없이 밖에서 기다리게 하는건 쫌 별루다 주문하자 쭉쭉 나오는 음식들이 미리 담아뒀나싶을만큼 빨리나왔다 신속한만큼 맛도 있으면 좋겠는데 모락 김도 올라오지 않는 곱창쌀국수는 정말 미적지근 곱창은 부드럽고 고소했지만 넘 식었다 저 고기는 비렸다 맛집이 더이상 맛집이 아닌때에 내가 방문한걸까 재방문의사는 없다,0
오랜만에 먹는 베트남 음식 츄베릅,1
쌀국수 안좋아하는데 존맛 곱창쌀국수 진짜맛있음ㅜ 근데 별로 안매워서 매콤하게 드시고싶으면 단계 이상으로 먹어야할듯,1
웨이팅이 있어도 회전율이 빨라서 금방 앉고 음식도 빨리나옵니다 기대없이 갔는데 만족스러웠고 직원분들도 친절해서 좋았어요,1
곱창 이런거보단 그냥 기본 쌀국수가 가장 맛있는거 같습니다,0
금요일 피크 살짝 지난 점심타임 쌀국수 먹음   회전 빠르고 음식 나오는 속도 굉장히 빠름  웨이팅할 맛은 아님  고명이랑 음식 양이 푸짐한편 그러나 그래서 재방문 의사는 총평이랑 같이 맨 아래에 쓰겠음 장  시스템 굿굿굿 손님 접대를 비롯해 웨이팅 안내 서비스랑 티오더 주문  특히 음식 나오는 속도를 보아 주방 시스템화가 굉장히 잘 되어 있다고 느낌  접객이 굉장히 친절하시다 웨이팅 안내하고 홀 전체 보시는 키 크신 남자분 처음엔 싸장님인줄 알았는데 조금 보다보니 매니저분이셨음 부담시럽지 않은 발성과 멘트로 오는 손님 대하고 가게 안 손님 서비스하고 복명복창하고 그 와즁에 메뉴 뭐먹고 싶어요  빨리 쉬어요 사장님 와야 쉬는데 난 언제 쉬냐 하면서 배려 유머러슼ㅋㅋ하게 알바 애기들 챙기는게 듣는 재미가 있어서 기억에 남음  본점이 가지는 의미 요즘 음식을 뭐 맛으로만 먹나 트렌드 중심 강남ㅡ신논현역 인근에 점심 피크 지난 시간대에 붐비는 식매장이 이 인근에는 여기밖에 없었고 거기다 옆옆 블록 잘되는 매장도 여기만큼 웨이팅은 없었음 그러면서도 손님은 계속 드나들었으니까 천천히 먹었는데 양 옆 손님 번 바뀌심좁은 간격 및 창가석 활용 등 자리수 최대화 그만큼 웨이팅 쳐내는 역량이 잘 되어 있다는 것 그만큼 요즘 유행한다 방송 나왔다 하는 집 메뉴를 본점에서 즐길 수 있다는 장점 단  왜 웨이팅이 빨리 쳐질까 좁은 자리로 인한 불편함 깊지 않은 매운 맛 기본 찬 부재  나는 괜찮았는데 성향에 따라 괜히 빨리 나가줘야할 것 같이 느끼기도 하더라 특히 창가석의 경우 극대화 ㅋㅋ 정도 자리도 좁고 의자도 좁은 편임 그래도 손님들이 강남이라 그런가 호리호리한 사람 마른 사람 많아서 그 좁은 공간에 다들 잘 들어가서 드시더라 우리동네 일미 순대국 같으면 절대 불가능하겠다 생각함 창가석의 경우 오르막길 오르내리시는 분들과 실시간 아이컨택이 가능함 특히 웨이팅이 긴 만큼 지나다니는 행인잠재적 손님분들이 관심을 많이 가지시는 편 게다가 유리창 통창이 장식 멘트 지문 등 하나 없이 매우 투명 나는 괜찮았는데 프렌도들은 부끄러워 하더라 메뉴도 방송에 나온 메뉴 시켜서 괜히 내가 매운 곱창 쌀국수 광고 찍고 있는 기분 쌀국수 반쯤 먹고 부터는 창가석은  디스카운트 해줘야된다고 농담하면서 적극적으로 창가 밖 행인 분들과 먼저 아이컨택하니 시선을 먼저 피하시더라 추천추천 맛 관련은  ㄱㄱ  그러면 맛은 어떤데 흑백리뷰 톤 제일 잘 나가는 메뉴인 매운 곱창 쌀국수 시킴 나는 단계 일행은 단계 해당 메뉴로 마케팅이 많이 되어 있고 티오더에 해당 메뉴 씬이 계속 떠서 정신 똑띠 안 차리면 그냥 이거 먹자 하게 되는 듯 원 제일 잘나가는 메뉴인듯 있는 동안 매니저님 메뉴 복창이 제일 많이 들렸음 매운맛이 단계 있는데 정도는 단계까지 있는 마라탕 매운 정도라 생각하면 딱인듯 단계 국물 드립 치면서 떠먹다 웃겨서 사래 났는데 쫌 위험했음 문제는 담백하다는거여 육수도 나름 냈고 곱창도 부족하지 않은데 그 맛이 깊지가 않어 걍 입만 매운 느낌 쌀국수다 보니까 국물 담백해야되는게 맞지 기름지면 마라탕에 쌀국수면 넣은 거니까 근데 이게 매운 거에 비해 뭐가 빈 느낌이가 나 양도 적지 않음 면숙주가  정도 비율 그러면서 큰 그릇이 푸짐해 굿굿 엄청 질 좋아 보인다 곱이 가득차 있다는 아닌 곱창 갯수도 굉장함 계속 나와 막 좀 물렸지만 프로틴 마저 채워야지 하면서 곱창 찾아 먹으면서 버팀 그런데 맛은 개인차가 있으니까 이게 혈중 마라 농도가 높은 사람이라 가진 편견일 수 있음 팁팁 시키신 맛이 맵다 싶으면 빈 매운 맛인거 같아  물린다 싶으시면 덜어서 검은 소스 짜 드십쇼 할만 합니다   식당 치고 밑찬 너무 부족함 저게 끝 총평 장사 잘 되고 장사 잘 하신다 매운 편 그런데 취향상 아쉬움 그러다보니 물 맛집 나 이거 먹었다 가능 재방문,0
사람 진짜 많네요 웨이팅할 정도는 아니었어요 ,0
곱창쌀국수 단계를 먹었는데 엽떡 보통맛보다 괜찮았습니다 줄은 길지만 음식 나오는 속도가 빨라 웨이팅은 크게 걱정 안하셔도 될듯 합니다,1
시그니처인 곱창쌀국수단계는 얼얼하게 맵기만 하고 쌀국수 풍미나 다른 맛은 없음 곱창하고 어울리는지도 잘 모르겠음 차라리 분짜가 나은데 짜조는 약간 눅눅 전체적으로 베트남식 기대하면 아쉽고 퓨전 요리 느낌 경험해본 걸로 만족,0
맛있고 혼밥하기도 좋아요 다만 유명한 곱창국수보다는 그냥 쌀국수가 제 입맛엔 더 맛있었습니다 짜조 바삭바삭하게 튀겨주셔서 좋네용,1
맛있구요 매우 친절하셨어요,1
짜고 얕음,0
또갈정도는 아님 지들좋자고 사람들 줄세우고 테이블 간격은 좁고 알바는 불친절하고 심지어 지들사이에도 텃새가 있는게 손님한테 보임 가장 큰문제는 음식을 미리 해둔다는거,0
맛있고 친절함,1
아 왤캐맛있냐고 근데 좁아요,1
음식도 빨리나오고 맛있었습니다ㅎㅎ,1
음식은 빨리 나오는데 국물이 안 따뜻하고 미지근,0
딱히 특별한거 없는 쌀국수집이었음 웨이팅해서까지 먹을 정도는 절대아님,0
그냥 마라탕에 쌀국수 넣은 맛이였고 곱창너무 질기고 갈비튀김 너무 딱딱했음,0
직화쌀국수랑 매운쪽갈비 조합 완전 추천해요  맥주를 부르는 맛 ㅠㅠ 맛도 이 매장만의 유니크함이 있고 넘 맛있어요  음식완전 빨리나오고 친절하심,1
맛있고 친절 대기할정도는 아니다만 강남에 워낙 맛집이 없어서ㅜㅜ 추천,1
옛날에 대기한 적 없이 들어가 먹었었음 맛있지만 시간 지나면 곱창이 질겨지고 써짐 그러니 빨리 드삼 불쇼도 해줘서 눈이 즐거웠고 분위기가 이국적이라 한번쯤 가보면 좋음 쌀국수에 곱창 등을 넣어 차별화된 곳이긴 함 근데 길다가 여기 줄선 사람들 볼 때마다 참안타까움 맛있긴한데 대기까지는 멀리서 와서 먹을만큼인건가도 잘 애초에 강남역에 쌀국수집이 없지 않나 그래서 줄이 긴가 타지역 더 맛나고 진한 쌀국수 많아서의정부 포누이루시 강추드림 결론 쌀국수에 곱창 넣은 퓨전메뉴 궁금하다면 추천 한번쯤은 경험해보면 좋아서 맛없는 것도 아니다보니 가지말라할 정도는 아님 대기가 너무 길다보니 없을 때 가서 판단하길 권할 뿐,0
양 많고 맛 쏘쏘 다 괜찮은데 일단 테이블이 너무 작고 대화가 힘듬,0
맛은 그냥 그럼 고기에서 살짝 이상한 맛이 나서 소스많이 찍어먹음 직원분들은 친절하심,0
베트남 음식 좋아하면 가볼만 해요,1
친절하고 맛집에요,1
진짜 너무 맛있는데요 평점 왜 안좋은겨요 진짜 ㅈㄴ맛닛는데 ㅠㅠㅠ 글고 친절함 제발가샘,1
그나마 먹는다면 매운 쌀국수 곱창은 냄새 안나고 맛있었어요 그 외에는 그냥 그랬어요,0
맛있고 직원분들도 친절하세요 웨이팅이 있긴한데 금방 빠지는 편이라 기다릴만 했어요 ㅎㅎ 또 가고 싶네요,1
맛은 모르겠지만 대기할 곳도 없고 일행이 와야만 입장이 가능하며 번호표가 있어도 현장에서 벗어나면 무효라는 말을 들었네요 어차피 입장할건데 먼저 기다리는게 안되면 대기시스템이라도 좀 바뀌었음 좋겠네요,0
제 입맛엔 좀 느끼 하고 별로지만 직원들이 친절해서 별개,0
맛은 있는데 매장이 정말 협소하고 깔끔한 편은 아닌 듯 합니다,0
뭐 그냥 저럭 인상깊은 맛은 아님,0
매장이 조금 협소해 웨이팅 심한 곳이지만 그래도 맛있어서 방문해요 언덕에 있어 접근하기 힘들어요 ㅜㅜ 맛은 최고입니당,1
고기 국물 면 다 맛있다 평일 시쯤에 가면 웨이팅도 적어서 좋음,1
매운 쌀국수 맛집,1
진짜 역대급 누가봐도 회사원인 우락부락한 아재들 셋이 정장입고 갔는데 웬 신분증검사를 해야 술을 판다고해서 뭔소리야 하면서 웃어넘기고 신분증 보여주면서 술시킴 이때까지만해도 그냥 작은 해프닝이었음 셋이 음식과 술 시킨 시점에 근처에 있던 지인 한명 온대서 합류하라했더니 매니저인지 점장인지가 와서 원래 인원이 다 차야 들어올수있는데 거짓말을 하고 세명만 먼저들어왔으니 시킨것만 먹고 나가야한다고 함 안그래도 사람 다 차야 들어올수있다고 해서 앞에서 분 서있다가 세명 다 모여서 들어온건데 한명이 더 왔으니 너넨 거짓말한거니까 나가야한다 음식도 다 시켰는데 제가 어지간하면 서비스 더러워도 음식 맛있으면 다시 가는데 여긴 정말 사회생활 안해봐서 틀에박힌 매뉴얼대로만 하라고 위에서 지시내려왔고 그대로 따르기만 해야하는 느낌 찐하게 받아서 웃기지도 않았음 내돈내고 이렇게 기분 드러워보긴 오랜만이네요 음식은 갈비찜 개에 짜조개 코코넛새우개 시켰는데 맛은 평타는 쳤음 다음부턴 가게앞에 꼭 중간에 인원추가 안된다고 써놔주세요 무슨 속이고 들어온 사람마냥 인테이블에 셋이앉아있다가 한명 더왔다고 거짓말한 사람 취급하면서 내쫓지말고 앞에 줄 조금 서있다고 목에 깁스하셨나본데 앞으로도 쭉 그렇게 계속 매뉴얼대로만 따르면서 장사 오래오래하시기 바랍니다 별 영향이야 없겠지만 주변 회사사람들에게 널리널리 전파할게요 직원들도 기본적으로 불친절하고 목소리 굉장히 큼,0
누가 가고싶다고 쫄라서 갔는데 그냥 평범 특별한 맛은 아니고 좀 느끼했음 웨이팅 긴 곳,0
나쁘지 않았음 딱 고정도,0
소곱창국수는 여기가 근본인듯ㅜㅜ 짜지 않고 맛있어요오 높은 의자 자리 앉을때 뒤에서 의자 잡아주고 밀어주기까지 합니다 　　   　 캇코이 친절,1
예전에 진짜 맛있게 먹었는데 위생이 많이 안좋아짐 밥먹다가 벌레잡는거 극혐인데,0
매운메뉴보다 안매운게 더좋았어요,1
문전박대 당했습니다 점심시간 일행 한명이 조금 늦어서 나머지 일행과 먼저 들어가려했더니 덩치큰 직원이 가로막고 쫓아냈습니다 일행이 다와야 입징할 수 있으니 번호표도 주고 다른데 가라고 하네요 잘못들었나 귀를 의심했어요,0
웨이팅 필수,1
다 평타 이상 곱창쌀국수가 메인,1
웨이팅은 있지만 음식은 금방 나오는 편이에요 곱창 쌀국수 냄새 안나고 맛나네요ㅎㅎ 돼지갈비 튀김도 별미,1
곱창 쌀국수 맛있네요,1
맛있고 빨리 나온다 가격대가 좀 높긴한데 강남인거 고려하면 괜츈,1
나쁘지않아여,1
쌀국수 좋아해서 갔는데 맛있더라구요,1
맛있고 회전 빨라서 좋다 갈때마다 주문하자마자 음식 바로 나와서 신기함,1
맛있어요 ,1
기다린 보람이 있었다 너무 맛있게 잘 먹었어요,1
맛있아요,1
맛있고 양도 푸짐해요 불친절한 감은 있습니다 사람 그렇게 많지 않은 평일 이른 저녁이간이었는데 쌀국수 땡길때 갈만한듯요 음식이 엄청 빨리나왔음,1
맛은 평범,0
회전율 좋고 주문한지 분도 안되어서 나왔네용 맛이 특별하진 않으나 가성비 괜찮다는 생각으로 먹고 나왔습니다  다음에는 곱창 쌀국수 도전 ,1
